Status,Row,Distance_m,Group,Plant No.,treatment2,treatment1,Harvest Date,date,initials2,initials,Time_groupa,Time_group,time3,TimeFromSun,time2,time,Pod,Pod2,Pod3,FreshPodWeight_g,Abort2,Abort3,Pod_status,fresh_podWeight_g,developedSeeds2,developedSeeds,undevelopedSeeds,seedSum,CommericalGrade,CommericalGrade2,dry weight_g,nots_a,notes_b
DONE,3,2.28,a,36,bagged,bagged,,5-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.3621,Fl,1,Fl,2.3621,2,2,0,2,Y,1,0.6284,,
DONE,3,2.28,a,36,bagged,bagged,,5-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-3,3,1,1.4751,Fl,1,Fl,1.4751,2,2,0,2,Y,1,0.3756,,
DONE,3,2.28,a,40,bagged,bagged,,5-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,1.5625,Fl,1,Fl,1.5625,2,2,0,2,Y,1,0.4038,,
,3,2.28,a,38,open,open,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.47,Fl,1,Fl,1.47,2,2,0,2,Y,1,0.355,,
,3,2.28,a,38,open,open,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-2,2,1,2.1492,Fl,1,Fl,2.1492,2,2,0,2,Y,1,0.5652,,
,3,2.28,a,38,open,open,,7-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-3,3,1,2.0185,Fl,1,Fl,2.0185,2,2,0,2,Y,1,0.5034,,
Double check,3,2.28,a,41,open,open,,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-1,1,1,2.925,Fl,1,Fl,2.925,2,2,0,2,Y,1,0.7573,,
Double check,3,2.28,a,41,open,open,,7-Jul-21,MR,NA,NA,NA,NA,,NA,NA,pod-4,4,1,2.3127,Fl,1,Fl,2.3127,2,2,0,2,Y,1,0.6525,,
DONE,3,2.28,a,55,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-2,2,1,2.8624,Fl,1,Fl,2.8624,2,2,0,2,Y,1,0.7418,,
DONE,3,2.28,a,55,open,open,16-Aug-21,7-Jul-21,KCE,NA,NA,NA,NA,,NA,NA,pod-3,3,1,3.1977,Fl,1,Fl,3.1977,2,2,0,2,Y,1,0.7947,,
DONE??,4,3.04,a,58,bagged,bagged,,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-1,1,1,1.9541,Fl,1,Fl,1.9541,2,2,0,2,Y,1,0.4992,,
DONE??,4,3.04,a,58,bagged,bagged,,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-3,3,1,2.0307,Fl,1,Fl,2.0307,2,2,0,2,Y,1,0.5147,,
DONE??,4,3.04,a,58,bagged,bagged,,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-4,4,1,2.0584,Fl,1,Fl,2.0584,2,2,0,2,Y,1,0.5328,,
DONE??,4,3.04,a,58,bagged,bagged,,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-5,5,1,2.0236,Fl,1,Fl,2.0236,2,2,0,2,Y,1,0.5331,,
DONE??,4,3.04,a,58,bagged,bagged,16-Aug-21,6-Jul-21,,NA,NA,NA,NA,,NA,NA,pod-7,7,1,2.6246,Fl,1,Fl,2.6246,2,2,0,2,Y,1,0.6714,,
